ZIP Code,County
46864,Allen
46865,Allen
46866,Allen
46867,Allen
46868,Allen
46869,Allen
46885,Allen
46895,Allen
46896,Allen
46897,Allen
46898,Allen
46899,Allen
46901,Howard
46902,Howard
46903,Howard
46904,Howard
46910,Fulton
46911,Miami
46912,Fulton
46913,Carroll
46914,Miami
46915,Carroll
46916,Carroll
46917,Carroll
46919,Miami
46920,Carroll
46921,Miami
46922,Fulton
46923,Carroll
46926,Miami
46928,Grant
46929,Carroll
46930,Grant
46931,Fulton
46932,Cass
46933,Grant
46935,Fulton
46936,Howard
46937,Howard
46938,Grant
46939,Fulton
46940,Wabash
46941,Wabash
46942,Cass
46943,Wabash
46945,Fulton
46946,Wabash
46947,Cass
46950,Cass
46951,Miami
46952,Grant
46953,Grant
46957,Grant
46958,Miami
46959,Miami
46960,Pulaski
46961,Cass
46962,Wabash
46965,Howard
46967,Cass
46968,Starke
46970,Miami
46971,Miami
46974,Wabash
46975,Fulton
46977,Carroll
46978,Cass
46979,Howard
46980,Wabash
46982,Kosciusko
46984,Wabash
46985,Pulaski
46986,Grant
46987,Grant
46988,Cass
46989,Grant
46990,Wabash
46991,Grant
46992,Wabash
46994,Cass
46995,Howard
46996,Pulaski
46998,Cass
47001,Dearborn
47003,Franklin
47006,Ripley
47010,Franklin
47011,Switzerland
47012,Franklin
47016,Franklin
47017,Ripley
47018,Dearborn
47019,Switzerland
47020,Switzerland
47021,Ripley
47022,Dearborn
47023,Ripley
47024,Franklin
47025,Dearborn
47030,Franklin
47031,Ripley
47032,Dearborn
47033,Ripley
47034,Ripley
47035,Franklin
47036,Franklin
47037,Ripley
47038,Switzerland
47039,Ripley
47040,Ohio
47041,Ripley
47042,Ripley
47043,Switzerland
47060,Dearborn
47102,Scott
47104,Clark
47106,Clark
47107,Harrison
47108,Washington
47110,Harrison
47111,Clark
47112,Harrison
47114,Harrison
47115,Harrison
47116,Crawford
47117,Harrison
47118,Crawford
47119,Floyd
47120,Washington
47122,Floyd
47123,Crawford
47124,Floyd
47125,Washington
47126,Clark
47129,Clark
47130,Clark
47131,Clark
47132,Clark
47133,Clark
47134,Clark
47135,Harrison
47136,Harrison
47137,Crawford
47138,Scott
47140,Crawford
47141,Clark
47142,Harrison
47143,Clark
47144,Clark
47145,Crawford
47146,Floyd
47147,Clark
47150,Floyd
47151,Floyd
47160,Harrison
47161,Harrison
47162,Clark
47163,Clark
47164,Harrison
47165,Washington
47166,Harrison
47167,Washington
47170,Scott
47172,Clark
47174,Crawford
47175,Crawford
47177,Clark
47190,Clark
47199,Clark
47201,Bartholomew
47202,Bartholomew
47203,Bartholomew
47220,Jackson
47223,Jennings
47224,Jefferson
47225,Decatur
47226,Bartholomew
47227,Jennings
47228,Jackson
47229,Jackson
47230,Jefferson
47231,Jefferson
47232,Bartholomew
47234,Shelby
47235,Jackson
47236,Bartholomew
47240,Decatur
47243,Jefferson
47244,Bartholomew
47245,Jennings
47246,Bartholomew
47247,Bartholomew
47249,Jackson
47250,Jefferson
47260,Jackson
47261,Decatur
47263,Decatur
47264,Jackson
47265,Jennings
47270,Jennings
47272,Decatur
47273,Jennings
47274,Jackson
47280,Bartholomew
47281,Jackson
47282,Jennings
47283,Decatur
47302,Delaware
47303,Delaware
47304,Delaware
47305,Delaware
47306,Delaware
47307,Delaware
